,community,clean,smell,noise,town,district,longitude,latitude,score,coordinates,mobike_count,service_count,leisure_count,culture_count,classe
0,万寿社区居委会,3,1,1,盈浦街道,青浦区,121.104287016932,31.1558823799679,0.9166666666666665,POINT (121.104287016932 31.1558823799679),-0.9401915124288907,0.8803211313082131,0.7473405353556745,-0.0074737289237464645,very happy
1,万泰花园第一居委会,3,0,1,七宝镇,闵行区,121.351529089795,31.144326843509,0.5833333333333333,POINT (121.351529089795 31.144326843509),-0.6882136680942417,-0.08794018958769832,-0.18852748106572048,0.4142581174876589,very unhappy
2,万科阳光苑居委会,2,1,1,吴泾镇,闵行区,121.468520387505,31.0422853979528,0.8333333333333333,POINT (121.468520387505 31.0422853979528),-0.9281103829059966,-0.814136180259632,-0.6564614892764179,-0.8509374217465573,happy
3,万豪居委会,3,1,1,长征镇,普陀区,121.367237458941,31.2407251034807,0.9166666666666665,POINT (121.367237458941 31.2407251034807),0.48710764691874486,-0.20897285469968727,-0.4559183429004047,-0.8509374217465573,very happy
4,万馨居委会,3,1,1,川沙新镇,浦东新区,121.668505522212,31.1953057158861,0.9166666666666665,POINT (121.668505522212 31.1953057158861),-0.9229327559676134,-1.0562015104836098,-0.5227660583590759,-0.42920557533515186,very happy
5,三泉路一零一五弄居委会,3,1,1,彭浦新村街道,静安区,121.43631336367,31.3199436665669,0.9166666666666665,POINT (121.43631336367 31.3199436665669),0.45604188528844564,-0.4510381849236651,0.7473405353556745,-0.0074737289237464645,very happy
6,三泉路七七零弄居委会,3,1,1,彭浦新村街道,静安区,121.436859112757,31.3170628592636,0.9166666666666665,POINT (121.436859112757 31.3170628592636),0.45949363658070114,-0.3300055198116762,0.41310195806231914,-0.0074737289237464645,very happy
7,三湘居委会,3,1,1,五角场街道,杨浦区,121.485432275279,31.3020103279143,0.9166666666666665,POINT (121.485432275279 31.3020103279143),2.0680097387717487,0.03309247552429061,-0.38907062744173365,0.4142581174876589,very happy
8,三湘盛世花苑居委会,2,1,1,张庙街道,宝山区,121.447584620833,31.3274228855577,0.8333333333333333,POINT (121.447584620833 31.3274228855577),1.3759336046745276,0.15412514063627955,0.47994967352099016,0.8359899638990643,happy
9,上南五村居委会,3,1,1,周家渡街道,浦东新区,121.495845054905,31.1819830763579,0.9166666666666665,POINT (121.495845054905 31.1819830763579),-0.6070975127262381,-0.4510381849236651,-0.38907062744173365,-0.8509374217465573,very happy
10,上炼新村二居委会,3,1,1,高桥镇,浦东新区,121.566878362846,31.3390515476908,0.9166666666666665,POINT (121.566878362846 31.3390515476908),-0.9073998751524638,-0.814136180259632,-0.5896137738177468,-0.0074737289237464645,very happy
11,世强居委会,3,1,0,叶榭镇,松江区,121.313354508403,30.9468041892619,0.5833333333333333,POINT (121.313354508403 30.9468041892619),-0.9401915124288907,-0.572070850035654,-0.5896137738177468,-0.8509374217465573,very unhappy
12,东南居委会,2,1,1,潍坊新村街道,浦东新区,121.511941125382,31.2272922646263,0.8333333333333333,POINT (121.511941125382 31.2272922646263),-0.62090451789526,0.6382558010842353,0.34625424260364807,-0.42920557533515186,happy
13,东南居委会,2,1,1,周浦镇,浦东新区,121.577741975311,31.1137186964607,0.8333333333333333,POINT (121.577741975311 31.1137186964607),-0.8935928699834419,-0.08794018958769832,0.07886338076896379,-0.42920557533515186,happy
14,东场居委会,2,1,1,书院镇,浦东新区,121.892088710925,30.9212634413547,0.8333333333333333,POINT (121.892088710925 30.9212634413547),-0.9401915124288907,-1.0562015104836098,-0.9238523511111022,-0.8509374217465573,happy
15,东城新村第六居委会,2,1,1,花木街道,浦东新区,121.528614912248,31.2012361296437,0.8333333333333333,POINT (121.528614912248 31.2012361296437),-0.6813101655097307,-0.572070850035654,-0.5896137738177468,-0.42920557533515186,happy
16,东城新村第四居委会,3,1,1,花木街道,浦东新区,121.532967564401,31.2062656736219,0.9166666666666665,POINT (121.532967564401 31.2062656736219),-0.5639506215730448,-0.572070850035654,-0.5227660583590759,-0.42920557533515186,very happy
17,东大名居委会,2,1,1,提篮桥街道,虹口区,121.506737160591,31.2517421240997,0.8333333333333333,POINT (121.506737160591 31.2517421240997),0.3559410978130371,-0.20897285469968727,-0.4559183429004047,0.4142581174876589,happy
18,东方居委会,2,1,1,塘桥街道,浦东新区,121.517032051687,31.2068942062027,0.8333333333333333,POINT (121.517032051687 31.2068942062027),-0.7089241758477745,-0.814136180259632,-0.32222291198306263,0.4142581174876589,happy
19,东林居委会,2,1,1,朱泾镇,金山区,121.160669007168,30.8965166419295,0.8333333333333333,POINT (121.160669007168 30.8965166419295),-0.9401915124288907,-0.08794018958769832,0.07886338076896379,0.4142581174876589,happy
20,东波苑第四居委会,3,1,1,沪东新村街道,浦东新区,121.57776434235,31.2876519598701,0.9166666666666665,POINT (121.57776434235 31.2876519598701),-0.8504459788302485,-0.4510381849236651,-0.32222291198306263,-0.8509374217465573,very happy
21,东白林寺居委会,2,1,0,定海路街道,杨浦区,121.543402583362,31.2765613810029,0.5,POINT (121.543402583362 31.2765613810029),1.1446662680934112,0.7592884661962241,-0.6564614892764179,-0.8509374217465573,very unhappy
22,东陆路一居委会,3,1,1,浦兴路街道,浦东新区,121.592416481135,31.2730692730285,0.9166666666666665,POINT (121.592416481135 31.2730692730285),-0.6882136680942417,-0.572070850035654,-0.32222291198306263,-0.0074737289237464645,very happy
23,中凯居委会,3,1,1,南京西路街道,静安区,121.46132993273,31.2272511656088,0.9166666666666665,POINT (121.46132993273 31.2272511656088),0.8374604030826748,1.9696151173161138,1.7500562672357405,0.8359899638990643,very happy
24,中凯居委会,3,1,1,南京西路街道,静安区,121.46132993273,31.2272511656088,0.9166666666666665,POINT (121.46132993273 31.2272511656088),0.8374604030826748,1.9696151173161138,1.7500562672357405,0.8359899638990643,very happy
25,中原路九十九弄居委会,2,1,0,五角场镇,杨浦区,121.52689846799,31.3157262229868,0.5,POINT (121.52689846799 31.3157262229868),3.0224189710803855,-0.20897285469968727,-0.5227660583590759,0.8359899638990643,very unhappy
26,中山东一路居委会,4,1,1,外滩街道,黄浦区,121.485321703633,31.2356838584233,1.0,POINT (121.485321703633 31.2356838584233),1.2413153042765643,1.7275497870921357,4.22342173920657,2.1011855031332805,very happy
27,中港居委会,2,1,1,海湾镇,奉贤区,121.70041899564,30.8604809217571,0.8333333333333333,POINT (121.70041899564 30.8604809217571),-0.9401915124288907,-1.0562015104836098,-0.9238523511111022,-0.8509374217465573,happy
28,中环家园社区居委会,3,1,0,万里街道,普陀区,121.408071457032,31.2680848750169,0.5833333333333333,POINT (121.408071457032 31.2680848750169),0.9927892112341707,-0.572070850035654,-0.054832050148378345,-0.0074737289237464645,very unhappy
29,中远两湾城第三居委会,3,1,0,宜川路街道,普陀区,121.432523701507,31.2523889533875,0.5833333333333333,POINT (121.432523701507 31.2523889533875),1.1740061540775828,1.122386461532191,-0.054832050148378345,0.8359899638990643,very unhappy
