,community,clean,smell,noise,town,district,longitude,latitude,score,coordinates,mobike_count,service_count,leisure_count,culture_count,classe,real_estate
3,万豪居委会,3,1,1,长征镇,普陀区,121.367237458941,31.2407251034807,0.9166666666666665,POINT (121.367237458941 31.2407251034807),0.10498785160021995,-0.4359637181817054,-0.6107761704501824,-1.0196066547594451,very happy,0.5743622923720929
5,三泉路一零一五弄居委会,3,1,1,彭浦新村街道,静安区,121.43631336367,31.3199436665669,0.9166666666666665,POINT (121.43631336367 31.3199436665669),0.07383050374150972,-0.6596430702013605,0.46706413034425726,-0.23756392390198353,very happy,-0.5112157786574012
6,三泉路七七零弄居委会,3,1,1,彭浦新村街道,静安区,121.436859112757,31.3170628592636,0.9166666666666665,POINT (121.436859112757 31.3170628592636),0.07729243128136645,-0.547803394191533,0.16766404679024619,-0.23756392390198353,very happy,-0.43425805609658935
7,三湘居委会,3,1,1,五角场街道,杨浦区,121.485432275279,31.3020103279143,0.9166666666666665,POINT (121.485432275279 31.3020103279143),1.6905506648545836,-0.21228436616205018,-0.5508961537393803,0.15345744152674717,very happy,-0.014404952265233676
8,三湘盛世花苑居委会,2,1,1,张庙街道,宝山区,121.447584620833,31.3274228855577,0.8333333333333333,POINT (121.447584620833 31.3274228855577),0.9964341931133174,-0.10044469015222258,0.22754406350104836,0.5444788069554779,happy,-0.506024572566587
9,上南五村居委会,3,1,1,周家渡街道,浦东新区,121.495845054905,31.1819830763579,0.9166666666666665,POINT (121.495845054905 31.1819830763579),-0.9924431785343505,-0.6596430702013605,-0.5508961537393803,-1.0196066547594451,very happy,-1.9090576586281656
10,上炼新村二居委会,3,1,1,高桥镇,浦东新区,121.566878362846,31.3390515476908,0.9166666666666665,POINT (121.566878362846 31.3390515476908),-1.2936308745018825,-0.9951620982308435,-0.7305362038717867,-0.23756392390198353,very happy,-0.18987533525300496
12,东南居委会,2,1,1,潍坊新村街道,浦东新区,121.511941125382,31.2272922646263,0.8333333333333333,POINT (121.511941125382 31.2272922646263),-1.0062908886937771,0.3469140138870878,0.10778403007944398,-0.6285852893307142,happy,0.06745051280243669
15,东城新村第六居委会,2,1,1,花木街道,浦东新区,121.528614912248,31.2012361296437,0.8333333333333333,POINT (121.528614912248 31.2012361296437),-1.0668746206412691,-0.7714827462111882,-0.7305362038717867,-0.6285852893307142,happy,-1.3270378990713265
16,东城新村第四居委会,3,1,1,花木街道,浦东新区,121.532967564401,31.2062656736219,0.9166666666666665,POINT (121.532967564401 31.2062656736219),-0.9491690842861418,-0.7714827462111882,-0.6706561871609847,-0.6285852893307142,very happy,-1.3270378990713265
17,东大名居委会,2,1,1,提篮桥街道,虹口区,121.506737160591,31.2517421240997,0.8333333333333333,POINT (121.506737160591 31.2517421240997),-0.02656539491433423,-0.4359637181817054,-0.6107761704501824,0.15345744152674717,happy,0.04386342032925067
18,东方居委会,2,1,1,塘桥街道,浦东新区,121.517032051687,31.2068942062027,0.8333333333333333,POINT (121.517032051687 31.2068942062027),-1.094570040960123,-0.9951620982308435,-0.4910161370285781,0.15345744152674717,happy,-1.3270378990713265
20,东波苑第四居委会,3,1,1,沪东新村街道,浦东新区,121.57776434235,31.2876519598701,0.9166666666666665,POINT (121.57776434235 31.2876519598701),-1.236509070094247,-0.6596430702013605,-0.4910161370285781,-1.0196066547594451,very happy,0.5317410895377019
21,东白林寺居委会,2,1,0,定海路街道,杨浦区,121.543402583362,31.2765613810029,0.5,POINT (121.543402583362 31.2765613810029),0.7644850479429192,0.45875368989691534,-0.790416220582589,-1.0196066547594451,very unhappy,0.03189447769321146
22,东陆路一居委会,3,1,1,浦兴路街道,浦东新区,121.592416481135,31.2730692730285,0.9166666666666665,POINT (121.592416481135 31.2730692730285),-1.0737984757209829,-0.7714827462111882,-0.4910161370285781,-0.23756392390198353,very happy,0.45305309348332384
